id,severity,title,claim,evidence,impact,recommendation
NFLV-011,Medium,"14 GPL-family and 4 weak-copyleft packages sit in the hard-dependency closure, two of them first-order","Of 90 packages: 72 no copyleft, 4 weak (LGPL/MPL), 14 GPL-family - re-derived independently from license-inventory.csv. All 6 targets are MIT + file LICENSE. data.table (MPL-2.0) is a DIRECT Imports of 5 of the 6 targets (nfl4th, nflfastR, nflplotR, nflreadr, nflseedR), verified edge by edge in dep-edges.csv; gsubfn (GPL >= 2) is a direct Imports of nflseedR and pulls proto (GPL-2). No AGPL exists anywhere in the closure - the 2 apparent grep hits are MPL-2.0 Section 1.12 'Secondary License' boilerplate in data.table/LICENSE and vctrs/LICENSE.note. Two file-level grants hide inside otherwise-permissive packages: stringi ships stri_stats_latex() under GPL-2.0-or-later inside a BSD-3-Clause-style package, and vctrs ships src/order-*.c and src/order-*.h under MPL-2.0 inside an MIT package. highr, knitr and mime declare a bare 'License: GPL' with no version qualifier at all.","$ROOT/evidence/ws-e/copyleft-flags.md; $ROOT/evidence/ws-e/license-inventory.csv; $ROOT/evidence/ws-a/dep-edges.csv","GPL/LGPL/MPL obligations are conventionally understood to attach on distribution rather than internal use, and the absence of AGPL - whose trigger is network use - is what makes a server-side-only reading available at all. Whether Dime distributes (a customer-facing artifact, a Docker image handed to an external party, a published fork) is an architectural fact this audit did not investigate. None of the copyleft exposure originates in nflverse's own code.","Confirm with counsel which distribution scenario applies. If any image or artifact containing these packages leaves Dime's control, work data.table's MPL-2.0 file-level share-alike first (first-order on 5 of 6 targets), then gsubfn/proto on nflseedR, then the bare-GPL trio. Note that the whole GPL rendering toolchain (rmarkdown, knitr, highr, mime, base64enc, bitops, htmltools) enters only via nflplotR -> gt."
NFLV-012,Medium,Two upstream nflverse data feeds have already died,"nflverse's own automation-status article (last_built 2026-04-20T17:32Z per pkgdown.yml) states for injuries: 'Our data source died after the 2024 season. At the moment, there is no 2025 data and there is no ETA yet as to when we will be able to make injury data available again.' For participation: 'Participation data prior to 2023 is from NFL NGS. The data source died during the 2023 season. Participation data from 2023 onwards is courtesy of FTN and is provided after all post-season games are completed. It does not update during the season!' Other feeds carry documented cadences: schedules every 5 minutes in season, rosters daily 07:00 UTC, PFR snap counts 4x daily, depth charts daily with a post-2024 source change.","$ROOT/evidence/ws-e/data-licensing.md; $ROOT/evidence/ws-e/raw/nflverse_data_schedule.html; $ROOT/evidence/ws-e/commercial-posture.md","dictionary_injuries (16 fields, documented back to 2009) has no current data and no replacement source. Participation lost in-season freshness entirely. This is nflverse's own admission, and it makes upstream feed death demonstrated history for this pipeline rather than a hypothetical risk. Distribution is a single point of failure: GitHub Releases on one org's repos, updated by GitHub Actions.","Do not build a product surface that depends on nflverse injury data. Treat participation as post-season-only. Monitor the automation-status article as a tracked operational dependency, and define a per-feed fallback before adoption - mirroring (see NFLV-002) also protects against a feed disappearing mid-season."
NFLV-013,Medium,Dime's nfl_games schema discards the betting lines and results nflverse already ships,"dictionary_schedules (45 fields) ships away_score, home_score, result (home minus away), total, overtime, away_moneyline, home_moneyline, spread_line, away_spread_odds, home_spread_odds, total_line, over_odds, under_odds and div_game. Dime's nfl_games table (drizzle/nfl.schema.ts) has none of these - no score columns, no line columns, nothing betting-related; it is purely a schedule and metadata table. nflverse also carries an espn column alongside its composite game_id, structurally the same key as Dime's event_id primary key, so the join is available.","$ROOT/evidence/ws-f/dime-mapping.md; $ROOT/evidence/ws-f/dictionaries/dictionary_schedules.csv","The single highest-relevance gap for a betting product. Historical closing lines and results are exactly what backtesting and model calibration require, they are already present in the frame Dime is closest to ingesting, and Dime currently drops them. Backfilling lines later is materially harder than capturing them at ingest.","Extend nfl_games, or add a sibling nfl_game_lines table, with the score, result, total and line/odds columns before ingesting schedules, so lines are captured from the first load. Join on the espn column rather than reconstructing nflverse's composite game_id."
NFLV-014,Low,memoise's filesystem cache readRDS makes the closure's unverified-deserialization trust persistent,"memoise's filesystem backend is four lines (cache_filesystem.R:36-51): cache_has_key tests file.exists, cache_get calls readRDS and returns the result as the memoised function's value with no type, structure or provenance check of any kind. cache_s3.R:52 and cache_gcs.R:55 are the same shape against a downloaded temp file. nflreadr wires this in at .onLoad around rds_from_url, csv_from_url, raw_from_url and parquet_from_url; nflplotR and ggpath do the same. Cache entries are always written as RDS regardless of the source format, keyed by rlang::hash() over the function source hash plus the URL - never by content and never by any server ETag or Last-Modified.","$ROOT/evidence/ws-c/escalation-reviews/memoise.md; $ROOT/evidence/ws-d/cache-behavior.md","Converts the transient, per-session trust decision in NFLV-002 into durable on-disk state that is re-deserialized on every subsequent session. Anyone with write access to the cache directory controls what the loaders return, indefinitely. Did not run on this host - no filesystem cache directory existed by default.","Treat the nflreadr cache directory as a trust boundary: a dedicated path with restrictive permissions, never shared between users or jobs. Prefer the default memory mode plus Dime-side persistence over filesystem mode, which is also the mode that makes NFLV-003 a multi-hour trap."
NFLV-015,Low,knitr's R_KNITR_OPTIONS is an environment-variable code-injection point,"knitr exposes R_KNITR_OPTIONS as an environment-variable-to-eval path (defaults.R:218-235) - a genuine Low finding distinct from, and not isolated by, the general rendering surface. Everything else escalated under E8 sits downstream of an explicit knit() or render() call on a specific file and is gated on options$eval; nothing fires at load, and knitr's .onLoad does package-local initialisation only. No rendering has occurred on this host. rmarkdown's implicit source('./global.R') / source(server.R) / load(.RData) paths are Shiny-only and shiny is not installed.","$ROOT/evidence/ws-c/escalation-reviews/knitr.md; $ROOT/evidence/ws-c/escalation-reviews/rmarkdown.md; $ROOT/evidence/ws-c/hooks-inventory.md","Any process that can set R_KNITR_OPTIONS in the environment of an R process that later renders a document gets an eval. knitr is present as a hard dependency via nflplotR -> gt -> htmlwidgets even if Dime never renders anything, so the package is loadable regardless of intent.","Do not let untrusted input reach the environment of R processes. If Dime never renders R Markdown, note that knitr, rmarkdown, tinytex, markdown and litedown are in the closure only because nflplotR hard-Imports gt - dropping nflplotR drops the whole rendering toolchain."
NFLV-016,Low,The nflverse v1.0.3 git tag points at a commit whose DESCRIPTION declares 1.0.2,"git ls-remote resolved the tag format as v<version> (not guessed). nflverse's v1.0.3 tag points at commit b8314c594a93 (2022-10-05) whose DESCRIPTION still declares 1.0.2; the real release commit is the next one, 6c4f6ad, 'release v1.0.3 to cran (#19)', 2023-08-14 - the tag was created roughly 10 months early and never moved. Both comparisons were run and emitted in full: against 6c4f6ad, 19 differing files (18 CRLF-only plus DESCRIPTION); against the literal tag, 20 differing files (17 CRLF-only plus DESCRIPTION, NEWS.md's 4-line 1.0.3 entry, and README.md's 40 lines). Every file under R/ and NAMESPACE is CRLF-only against either base - no R code changed. The other five targets' tags all match their DESCRIPTIONs and CRAN exactly.","$ROOT/evidence/ws-b/notes.md; $ROOT/evidence/ws-b/github-diff/nflverse.txt; $ROOT/evidence/ws-b/raw-logs/github-tag-resolution.txt","A maintainer bookkeeping defect, not tampering - it has no effect on shipped code. It does mean the v1.0.3 tag cannot be used naively as a provenance anchor for nflverse 1.0.3: anyone verifying against it sees a version mismatch that could be misread as divergence. More generally, git tags are mutable and this one demonstrates they can be misplaced, so tag-based verification is corroboration rather than proof.","If Dime pins nflverse by git ref anywhere, pin commit 6c4f6ad rather than the v1.0.3 tag, and record why. Prefer the CRAN tarball plus its published MD5 as the provenance anchor for all six targets."
NFLV-017,Low,nfl4th hides its CRAN-detection string as raw bytes so a source grep will not find it,"nfl4th/R/cache.R:127 calls grepl(rawToChar(no_cache), ...) where no_cache is a raw[6] vector stored in sysdata.rda. Decoded with Rscript --vanilla it is the string 'ripley'. The package detects that it is running on a CRAN check machine by grepping the cache path for that name, and stores the needle as raw bytes so CRAN's own source grep will not match it. No pattern in the scan matched this; it was found by loading and decoding the binary payload. The same inspection of all four targets' sysdata.rda files found no function objects, no closures carrying environments and no executable content anywhere.","$ROOT/evidence/ws-c/notes.md; $ROOT/evidence/ws-c/per-package-review/nfl4th.md","Benign in effect - it only changes caching behaviour on CRAN check machines. It is deliberate evasion of a policy inspection in form, and it demonstrates concretely that a source-level grep of these packages is not a complete control.","Weigh it as a maintainer-trust signal for nfl4th specifically. Any re-audit should decode sysdata.rda and other binary payloads rather than relying on source greps alone - treat 'no pattern matched' as 'no pattern matched', never as 'nothing there'."
NFLV-018,Low,A Dime memory note describes a kickoff_time_et column that does not exist in the implemented schema,"The project memory note kickoff-datetime-convention.md states the schema shape is kickoff_utc (instant), kickoff_date (DATE), kickoff_time_et (display). The implemented schema - drizzle/nfl.schema.ts nflGames, confirmed byte-for-byte against drizzle/0118_dark_gateway.sql - has no kickoff_time_et column. Only kickoff_utc (timestamp), kickoff_date (date) and time_valid (boolean) are persisted; ET display time is derived at read time from kickoff_utc, not materialized.","$ROOT/evidence/ws-f/dime-mapping.md","Documented-intent versus implementation drift on Dime's own side. Anyone writing an ingestion mapping from nflverse's gametime field - which IS stored, always in Eastern time regardless of venue, per dictionary_schedules - against the memory note will target a column that does not exist. nflverse persists precisely what the note says Dime should.","Correct the memory note to match the implemented schema, or add the column deliberately. This is a cheap alignment either way, and it should be settled before any nflverse schedule ingestion is written against it."
NFLV-019,Low,"Dime and nflverse disagree on team abbreviations for at least 2 of 32 teams","Dime stores ESPN-sourced abbreviations directly in nfl_teams.abbreviation (confirmed in scripts/data/nfl-2026/teams.json): Rams = LAR, Commanders = WSH. nflreadr's team_abbr_mapping - the 143-entry alias-to-canonical table shipped as package data - canonicalizes to Rams = LA and Commanders = WAS. The other teams checked agree: Raiders LV, Patriots NE, Packers GB, Saints NO, Buccaneers TB, 49ers SF, Chargers LAC.","$ROOT/evidence/ws-f/dime-mapping.md","Any join between Dime's nfl_teams.abbreviation and an nflverse frame keyed on team abbreviation silently drops or mis-attributes Rams and Commanders rows - silently, because both sides are valid non-null strings and no constraint catches it. Two teams is 6% of the league and includes a division rival pair.","Do not join on abbreviations. Join on ESPN numeric ids, as the project's own fbs-team-crosswalk convention already mandates for CFB, and apply nflreadr::clean_team_abbrs / team_abbr_mapping as an explicit canonicalization step wherever an nflverse abbreviation must be used."
NFLV-020,Low,Seven closure packages carry call-time execution surfaces that were accepted rather than closed,"Reviewed and accepted, none of which ran on this host: tinytex (downloads and runs a TeX Live installer, osascript sudo prompt, automatic brew install ghostscript); parallelly (launches processes including over SSH); Rcpp (compiles and dyn.loads C++, plus a load() of a cache index whose default location is the session-private tempdir(), not a persistent user directory); xfun (shell-outs and uploads, all explicit developer functions unreachable from rendering, plus a persistent R_user_dir cache readRDS); rmarkdown (implicit source('./global.R'), source(server.R), load(.RData) - Shiny-only, shiny not installed); data.table (update_dev_pkg() over an HTTPS project repo by explicit call; base patching hard-gated on R < 4.0.0); litedown (an exec engine that runs chunk-named commands, plus a cache readRDS). Eleven further escalated packages were reviewed and found benign outright, including stringi, whose icudt download is proven not to have occurred - the file ships in the tarball and is md5-verified against a manifest inside it.","$ROOT/evidence/ws-c/escalation-reviews/INDEX.md; $ROOT/evidence/ws-c/escalation-reviews/tinytex.md; $ROOT/evidence/ws-c/escalation-reviews/parallelly.md; $ROOT/evidence/ws-c/escalation-reviews/Rcpp.md; $ROOT/evidence/ws-c/escalation-reviews/xfun.md; $ROOT/evidence/ws-c/escalation-reviews/data.table.md; $ROOT/evidence/ws-c/escalation-reviews/litedown.md","Each requires an explicit call that the nflverse data path does not make, so none is live today. Together they enlarge the surface materially if Dime's own code ever calls into the rendering or parallel toolchain, and several of them are present only as transitive tooling nobody chose deliberately.","Keep them out of production images if rendering and parallelism are not needed. Re-evaluate this row specifically if Dime adds document rendering, PDF export or parallel simulation - nflseedR's simulator pulls future/furrr, so the parallel path is one feature away."
NFLV-021,Info,Release-asset downloads terminate on a host that appears nowhere in the static URL census,"GitHub release-asset URLs return HTTP/2 302 to https://release-assets.githubusercontent.com/... (a signed, time-limited URL), verified two independent ways: curl -sD - -L from the shell and curl::curl_fetch_memory() called from R, both against a real loader URL (.../releases/download/players/players.rds). That hostname appears nowhere in the 90-package static census (0 hits, case-insensitive) - expected, since it is minted per request and is never a literal string in any source file. It is also not the objects.githubusercontent.com name the audit plan anticipated. The raw/master/... path used by load_schedules redirects instead to raw.githubusercontent.com, which IS in the census (404 occurrences).","$ROOT/evidence/ws-d/notes.md; $ROOT/evidence/ws-d/url-census-closure.txt; $ROOT/evidence/ws-d/dynamic-fetch-log.csv","Not suspicious. It matters operationally: an egress allowlist derived from a static source census would block every release-asset download while appearing complete, and R-level fetch hooks cannot observe it because redirect-following happens inside libcurl below any R-level hook.","Any egress allowlist must include release-assets.githubusercontent.com and raw.githubusercontent.com alongside github.com, and must be validated against observed traffic rather than derived from source greps."
