"filename","kind","purpose","key_verified_findings","tables_columns","modeling_impact","rows"
"boxscores-rows-per-game-batting.csv","csv","Distribution of batting boxscore rows per game","range 18-58, mode 20; >45 rows occur only in All-Star games","mlb_boxscore_batting (rows per game_pk)","per-game aggregation sanity bounds 18-58; row-count outliers reinforce excluding game_type A","39"
"boxscores-rows-per-game-pitching.csv","csv","Distribution of pitching boxscore rows per game","range 2-25, mode 8; min 2 = both starters went the distance (56 games)","mlb_boxscore_pitching (rows per game_pk)","bullpen-usage features have sane support everywhere; no imputation needed","23"
"boxscores-run-mismatch-exemplars.csv","csv","The single run-total mismatch in the entire warehouse, fully classified","game 778566 (2025 ASG, status FW): official score 7-6 but both batting lines sum 6-6 because the HR swing-off run is unattributed","mlb_games.away_score/home_score, mlb_boxscore_batting.r","exclude ASG / special-case game 778566 in any runs-attribution or reconciliation feature","1"
"boxscores-runs-reconciliation-by-season.csv","csv","Per-season batting run sums vs game final scores","0 mismatches in every season except 2025 (1 = the ASG swing-off); no missing sides","mlb_boxscore_batting.r, mlb_games.away_score/home_score","run-scoring targets can be built from either boxscore sums or game scores; exclude ASG","21"
"boxscores-so-hr-crosscheck-by-season.csv","csv","Batting vs opposing-pitching SO and HR totals per team-game per season","0 mismatches in every season for both SO and HR (all four directional checks)","mlb_boxscore_batting.so/hr, mlb_boxscore_pitching.so/hr","strikeout and HR prop features are internally consistent 2006-2026 from either side of the boxscore","21"
"boxscores-winloss-flag-counts-by-season.csv","csv","Cardinality of win/loss/save flags per game per season","exactly 1 W and 1 L in 49,417/49,419 games; only exceptions are the 2 tie games; save<=1 always (24,889 saves total)","mlb_boxscore_pitching.win/loss/save flags","W/L labels usable directly; handle the 2 no-decision tie games (449244, 778566)","21"
"boxscores-winloss-id-agreement-by-season.csv","csv","Boxscore W/L/save flag rows vs game-level decision pitcher ids","100% agreement: all 49,417 win, 49,417 loss, 24,889 save flag rows match mlb_games winner/loser/save_pitcher_id; no flag where game id is NULL","mlb_boxscore_pitching flags, mlb_games.winner_pitcher_id/loser_pitcher_id/save_pitcher_id","pitcher-decision features can join either table with no arbitration logic","21"
"games-2026-app-live-score-mismatches.csv","csv","The 9 app games rows whose live-score display columns disagree with the warehouse","in all 9 the app's actual* columns side with the warehouse (8 from 2026-05-05 outage, 1 from 06-16) - app live-score staleness, warehouse correct","mlb_games.away_score/home_score vs app games.awayScore/homeScore/actualAwayScore/actualHomeScore","use warehouse (or app actual*) scores as labels; never the app live-score columns","9"
"games-2026-missing-finals.csv","csv","The 10 finals from the 2026-07-28 night slate absent from the warehouse at audit time","StatsAPI shows 1,611 final 2026 R pks vs 1,601 loaded; the set-diff is exactly these 10 late-evening games","mlb_games (2026 coverage tail)","2026 data is snapshot-current only through the 2026-07-28 early slate; verify freshness (nightly cron) before training or evaluating on the 2026 tail","10"
"games-doubleheader-anomalies.csv","csv","Doubleheader singletons and the one flag mismatch","10 DH singletons (companion game postponed/never completed - expected in a finals-only store) + 1 S-vs-Y flag mismatch (2016-09-22 DET@MIN)","mlb_games.double_header/game_number","do not assume flagged DH games pair up; tolerate the single flag mismatch; DH game 2 may carry flipped home/away (2020 COVID makeups)","11"
"games-field-availability-per-season.csv","csv","Percent non-null per mlb_games field per season","100% in every season for attendance/duration/weather/temp/hits/errors/day_night/first_pitch/venue (minus 2 Field of Dreams rows); wind 93.1-96.7% pre-2015 then 100%; save pitcher ~47-53% naturally","mlb_games.attendance/duration_minutes/weather_condition/temp_f/wind/first_pitch_utc/venue_id/winner-loser-save_pitcher_id/day_night","era gate: wind needs missing-handling pre-2015; all other game-context features have no era gate 2006-2026","21"
"games-misc-anomalies.csv","csv","Assorted verified single-row game anomalies (ties, Field of Dreams, sentinels, 7-inning quirks, status O)","2 ties (449244 FT; 778566 FW is_tie=1 with score 6-7); 2 Field of Dreams games NULL venue_id+first_pitch_utc; temp_f=0 roof-closed sentinels (2024); scheduled_innings=7 with double_header=N makeups; 2 rows stuck status O","mlb_games.is_tie/venue_id/first_pitch_utc/temp_f/scheduled_innings/status_code","treat temp_f=0 as missing under a roof; tolerate NULL venue on 632924/663023; is_tie=1 can carry unequal score (ASG); 7-inning DH era 2020-21","14"
"games-per-season.csv","csv","Per-season game counts by type/status plus ties, DH, attendance-zero, and innings distribution","R counts pk-identical to StatsAPI finals on all ground-truthed seasons (2006/2008/2016/2020/2024); deficits vs games_expected are real MLB cancellations; 2020=898 R; scheduled 7-inning games only 2020-21","mlb_games.game_type/status_code/is_tie/double_header/innings/attendance, mlb_seasons.games_expected","season completeness assured 2006-2025 (no ingestion loss); treat 2020 (COVID) and 2026 (in progress) as short seasons; normalize rates for the 7-inning DH era 2020-21","21"
"games-report.md","report","Forensic profile of mlb_games: game types, statuses, doubleheaders, field availability, integrity, 2026 tail","49,419 completed games finals-only (no S/E spring rows); zero dupes/orphans/season-boundary violations; R innings min 5; the only is_tie trap is ASG 778566; 10 late 2026-07-28 finals missing + 2 status-O rows","mlb_games (all columns), mlb_seasons, mlb_venues, mlb_franchises","train on game_type R (exclude A; postseason distinct regime); minimum 5-inning shortened finals exist - gate on status F if full games required; 2026 freshness ends 2026-07-28",""
"pitches-call-code-vocab-raw.tsv","csv","Raw TSV twin of the call_code vocabulary table (same data as pitches-call-code-vocab.csv)","21 call codes, 100% non-NULL; I Intent Ball ends after 2016; 28 legacy in-play-pitchout rows (Y/Z/J/R)","mlb_pitches.call_code","same gates as the CSV twin: closed vocabulary; era-gate code I (dead 2017+)","21"
"pitches-call-code-vocab.csv","csv","call_code vocabulary with description, count, and first/last season","B 4.91M / F 2.50M / C 2.45M / X 1.71M / S 1.35M ...; I Intent Ball ends 2016 (no-pitch IBB rule 2017); zero unknown/garbage codes; 100% non-NULL every season","mlb_pitches.call_code","call-outcome features use a closed 21-code vocabulary all seasons; era gate: code I absent 2017+; tolerate 28 legacy Y/Z/J/R rows","21"
"pitches-continuity-raw.tsv","csv","Per-season pitch_number continuity check within at-bats","0 at-bats not starting at 1, 0 gaps/duplicates across all 3,761,862 at-bats in 21 seasons","mlb_pitches.pitch_number, mlb_pitches.game_pk/at_bat_index","pitch-sequence and count-progression features need no gap/repair logic","21"
"pitches-era-matrix-raw.tsv","csv","Raw TSV twin of the era-availability matrix (per-season non-null pct per pitch field)","identical era boundaries as pitches-era-matrix.csv (PitchFX 2008+, Statcast pitch 2017+, launch 2015+)","mlb_pitches physics/Statcast/contact/zone columns","same era gates as pitches-era-matrix.csv","21"
"pitches-era-matrix.csv","csv","CENTERPIECE era-availability matrix: percent non-null per season for every audited pitch field plus in-play-conditional contact coverage","PitchFX physics 0.74% (2006) / 45.7% (2007) / 96.6-99.9% (2008-2016); extension/plate_time/break_vertical/horizontal 0% pre-2015, trace 2015-16, 99.6%+ from 2017; launch_* 86.9-91.3% of in-play 2015-2019, 99.3%+ from 2020; sz_top/bot, call_code, zone, trajectory, hit_coord always ~100%","mlb_pitches.start_speed/end_speed/spin_rate/px/pz/zone/sz_top/sz_bot/break_angle/break_length/break_vertical/break_horizontal/extension/plate_time/type_confidence/pitch_type_code/launch_speed/launch_angle/total_distance/hit_coord_x/hit_coord_y/trajectory","era gates: PitchFX physics usable 2008+ (2006-07 unusable); Statcast pitch tracking (extension/plate_time/vertical-horizontal break) usable 2017+ only; launch data 2015+ with missingness weighting 2015-19; spray/trajectory features usable all 21 seasons","21"
"pitches-game-coverage-raw.tsv","csv","Games with pitch rows per season x game_type","100% of games covered in every season x game_type cell (A/D/F/L/R/W)","mlb_pitches vs mlb_games.game_type","no game-level pitch-coverage exclusions needed anywhere","115"
"pitches-inplay-launch-raw.tsv","csv","In-play-conditional coverage of launch/hit_coord/trajectory fields per season","launch fields 0% pre-2015, 86.9-91.3% of in-play 2015-2019, >=99.3% from 2020; hit_coord_x >=91% all seasons; trajectory 100% all seasons","mlb_pitches.launch_speed/launch_angle/total_distance/hit_coord_x/hit_coord_y/trajectory (conditional on is_in_play)","contact-quality features start 2015 with untracked-ball missingness 2015-19 (not MAR-free); spray/trajectory usable all eras including 2006-2014","21"
"pitches-outliers-raw.tsv","csv","Raw TSV twin of the physics-outlier table","identical counts to pitches-outliers.csv (|px|>4, spin>3700, speed extremes per season)","mlb_pitches.px/pz/spin_rate/start_speed/sz_top/sz_bot/zone","same clamp rules as pitches-outliers.csv","21"
"pitches-outliers.csv","csv","Per-season physics outlier counts and min/max extremes","22,828 rows |px|>4 (1,900-2,900/season 2008-2016 vs <=79 from 2017); 1,050 spin>3700 nearly all PitchFX era (max 8,269); 5,862 speeds outside 55-106 mostly genuine lobs/position players; 0 invalid zones","mlb_pitches.px/pz/spin_rate/start_speed/sz_top/sz_bot/zone","clamp/NULL |px|>4 and pz outside [-2,8] (mostly pre-2017), spin>3700 in the PitchFX era, sz_top>7 / sz_bot<-2; KEEP sub-55mph pitches (real eephus/position-player era)","21"
"pitches-pitch-type-vocab-raw.tsv","csv","Raw TSV twin of the season x pitch_type_code counts (without pct column)","same vocabulary/drift facts as pitches-pitch-type-vocab.csv","mlb_pitches.pitch_type_code","same handling rules as the CSV twin","362"
"pitches-pitch-type-vocab.csv","csv","Season x pitch_type_code counts with share of classified pitches","FA generic fastball = 58% of 2007 classified, collapsing to <=300/season from 2008; no FT code anywhere (post-2020 FT->SI merge pre-applied); ST from 2011 / SV from 2014 are retro-applied labels; empty-string code on 3,398 rows 2006-2019; IN dead after 2016, PO after 2018","mlb_pitches.pitch_type_code","merge FA into FF (or treat 2006-07 as generic fastball); no two-seam handling needed (SI spans all seasons); treat pre-2021 ST/SV labels cautiously; map '' and UN to unknown","362"
"pitches-report.md","report","Forensic profile of mlb_pitches: volume, era matrix, vocabularies, physics plausibility, integrity, ground truth","14,495,317 rows with is_pitch=1 only (pickoff/step-off/action events absent by design, 0 rows vs 17-37/game upstream); 0 orphans, perfect pitch_number continuity, pitch_count reconciliation exact every season; type_confidence decays Jul-Oct 2019","mlb_pitches (all columns), mlb_plays.pitch_count, mlb_people","per-pitch pickoff features are impossible from this table; obey era gates + outlier clamps; pre-2008 sz bounds are heuristic not measured; avoid type_confidence-dependent logic for 2H 2019",""
"plays-distribution-by-season-type.csv","csv","min/avg/max/sd of plays per game by season and game_type","regular-season minimums 37-54 are all rain/other-shortened finals; maxima 135-168 are extra-inning games; averages inside the 74-78 band","mlb_plays (per-game counts), mlb_games.game_type/status_code","low-play games are legitimate short games, not data loss; per-game PA volumes have era-plausible support","115"
"plays-event-type-by-season.csv","csv","Long-format season x event_type counts (vocabulary drift detection)","all 29 event types with >=76 occurrences span all 21 seasons continuously; only game_advisory (2017+, 16 rows) and unknown (2006-2015, 17 rows) are era-bound","mlb_plays.event_type","outcome-vocabulary features stable across eras; era-gate game_advisory (2017+); drop/ignore the 17 legacy unknown rows","756"
"plays-event-type-frequency.csv","csv","Overall event_type frequency table","50 distinct values; field_out 1,536,051 / strikeout 769,761 / single 556,918 / walk 295,263 / home_run 108,081; ultra-rare types (1-2 rows) exist","mlb_plays.event_type","encode outcomes over a closed 50-value vocabulary; group ultra-rare types to avoid sparse categories","50"
"plays-impossible-count-rows.csv","csv","The 11 plays with impossible end counts, classified","10 plays balls_end=5 and 1 strikes_end=4, spread 2006-2025; verified source-inherited (StatsAPI upstream carries the same counts, ground-truthed on 40737/ab56)","mlb_plays.balls_end/strikes_end","source-inherited impossible counts: tolerate (0.0003%); clamp count features to legal ranges (balls<=4, strikes<=3) rather than dropping games","11"
"plays-index-continuity-mismatches.csv","csv","Verified-empty population: games whose at_bat_index is not 0..n-1 contiguous","0 offenders across all 49,419 games (min=0 and max+1=count everywhere)","mlb_plays.at_bat_index","sequence features need no gap repair; at_bat_index is a safe ordinal join key","0"
"plays-inning-monotonicity-violations.csv","csv","Verified-empty population: inning/half ordering violations within games","0 violations across all 3,767,228 plays; half is exactly {top, bottom} with no NULLs","mlb_plays.inning/half","within-game game-state ordering is trustworthy for as-of/leverage features","0"
"plays-per-season.csv","csv","Plays and plays-per-game per season","74.3-77.8 plays/game every season (sanity band); mild secular decline is the real strikeout-era shift; 2020 and 2026 short seasons","mlb_plays, mlb_games","PA volumes complete all 21 seasons; no per-season exclusions needed","21"
"plays-pitchcount-match-by-season.csv","csv","Per-season reconciliation of plays.pitch_count vs mlb_pitches row counts","100.000% exact for all 3,767,228 (game_pk, at_bat_index) pairs in every season; zero over/under/orphan-positive","mlb_plays.pitch_count, mlb_pitches","pitch_count is authoritative; plays<->pitches joins are lossless in both directions","21"
"plays-report.md","report","Forensic profile of mlb_plays: volume, event vocabulary, state integrity, runners JSON, ground truth","3,767,228 rows; zero zero-play games, zero index gaps, zero monotonicity violations; 1 final-score mismatch (2025 ASG swing-off); 11 source-inherited impossible counts; runners JSON 100% coverage with one uniform schema","mlb_plays (all columns), mlb_games, mlb_pitches","play-by-play features safe all 21 seasons; exclude ASG / special-case 778566; tolerate 11 impossible counts; parse runners as flat {earned,end,id,out,rbi,start}",""
"plays-runners-by-season.csv","csv","runners JSON coverage and average entries per play per season","100% non-NULL in every season; only 37 empty arrays, all administrative events; 1.34-1.38 avg entries/play, stable","mlb_plays.runners (JSON)","baserunner-state features parse a single flat schema across all eras; tolerate 37 empty administrative rows","21"
"plays-score-mismatches.csv","csv","Final-play running score vs game final score mismatches","exactly 1 of 49,419 games: 778566 (2025 ASG FW) where play-by-play correctly ends 6-6 vs game score 7-6 (swing-off)","mlb_plays running score columns, mlb_games.away_score/home_score","running-score/leverage features trustworthy; exclude ASG / special-case game 778566","1"
"plays-zero-play-games.csv","csv","Verified-empty population: games with no play rows","0 zero-play games in every season and game_type - even 2006 has full play-by-play","mlb_plays vs mlb_games","no early-era exclusion needed for play-by-play availability; full PBP back to 2006","0"
"provenance-indexes.csv","csv","Full index inventory of the 10 warehouse tables (information_schema.statistics)","natural clustered PKs everywhere (no surrogates); mlb_pitches has idx (pitcher_id, season) and (batter_id, season); mlb_games indexed on official_date, (season, game_type), team+season","all 10 mlb_* warehouse tables (PK + secondary indexes)","shape feature-extraction queries along existing indexes (player+season, season+game_type, official_date) for tractable full-history scans","34"
"provenance-loaded-at-batches.csv","csv","The 3 distinct loaded_at batches across all 49,419 games","bulk backfill 45,350 games @2026-07-28 20:43 UTC; 2021 re-load @22:40 after a break_length physical-impossibility fix; 2026 bootstrap 1,602 games @2026-07-29 01:59","mlb_games.loaded_at","loaded_at is a transform-batch lineage id, not a write clock; 2021 break_length values are the repaired version; single-snapshot load means no incremental-leakage risk in history","3"
"provenance-loaded-at-by-season.csv","csv","Per-season load stamp plus feed_timestamp era split","2006-2009 feed_timestamp is 100% crawl-time (2026-07-27 window, no originals exist); 2010-2025 100% genuine in-season stamps; 2026 100% in-season","mlb_games.loaded_at/feed_timestamp","era gate: never use feed_timestamp as a game-time proxy pre-2010; from 2010 it approximates final-out time","21"
"provenance-report.md","report","Provenance and ingestion forensic: load batches, pipeline mechanics, freshness, app-table consistency, storage","one-shot batch backfill + manual 2026 bootstrap; crosswalk enrichment applied then silently wiped by the dims re-upsert (and nightly cron will re-wipe); nightly refresh cron had 0 runs; status-O rows never revisited by the delta; finals-only by design","mlb_games.loaded_at/feed_timestamp, mlb_people + mlb_franchises crosswalk columns, all 10 tables (storage/DDL), app mlb_schedule_history","do not build features on crosswalk ids (all NULL until enrichment re-run); verify 2026 currency before eval; treat loaded_at as lineage not timing; no app-runtime writer touches the warehouse",""
"provenance-storage.csv","csv","Exact row counts, TiDB estimates, engine and storage stats per warehouse table","exact counts (pitches 14,495,317; plays 3,767,228; batting 1,186,159; pitching 408,375 - the circulating 506K figure is a stale estimate); clustered natural PKs; ~3.55GB data + 1.28GB index","all 10 mlb_* warehouse tables","use exact counts not information_schema estimates; plan extraction around ~3.5GB scale and clustered natural keys","10"
"registries-franchises.tsv","csv","Full 32-row franchise registry decode","30 active clubs + AL (159) / NL (160) All-Star pseudo-teams; division reflects current 2026 alignment only; first_season/last_season NULL on all rows; all 7 crosswalk/slug columns NULL","mlb_franchises.team_id/name/abbrev/league/division/active + crosswalk columns","never read league/division for historical seasons (pre-2013 Astros etc. mislabeled); exclude teams 159/160 from team features; no slug/external-id joins available","32"
"registries-officials-by-season.tsv","csv","Per-season umpire crew-size distribution and HP coverage","HP umpire coverage 100.00% in all 21 seasons; 6-ump crews = every postseason game + ASG; 37 3-ump games are source-true (ground-truthed)","mlb_officials.position, mlb_games","HP-umpire identity features available for every game 2006-2026; crew size 6 is a postseason/special-event signal, not noise","21"
"registries-orphan-checks.csv","csv","All 15 full-population orphan/coverage checks across the registries","0 orphans in every direction: plays/pitches/boxscores/officials/decision-pitcher ids -> mlb_people; games <-> franchises/venues perfect bijections","mlb_people, mlb_franchises, mlb_venues vs mlb_plays/mlb_pitches/mlb_boxscore_*/mlb_officials/mlb_games","registry joins are safe unconditioned - no anti-join guards or orphan handling needed","15"
"registries-people-fill-rates.csv","csv","mlb_people field and crosswalk fill rates by cohort","players 99.97% bat_side/pitch_hand/birth_date, 98.27% mlb_debut; umpires 0% bio fields (expected); br_id/an_player_id/rotowire_id/retrosheet_id 0% for ALL cohorts including the 1,721 active 2025-26 players","mlb_people.bat_side/pitch_hand/birth_date/mlb_debut/primary_position/br_id/an_player_id/rotowire_id/retrosheet_id","handedness/age features usable ~100%; external-id joins (Baseball-Reference/ActionNetwork/Rotowire/Retrosheet) are BLOCKED until crosswalk enrichment is re-run","6"
"registries-people-unreferenced.tsv","csv","The 108 unreferenced mlb_people rows","exactly the mlb_debut IS NULL set: 106 never-debuted minor-league strays + AL/NL pseudo-entities 814869/814870 (primary_position X)","mlb_people.mlbam_id/mlb_debut/primary_position","exclude pseudo-entities and never-debuted rows from player universes; registry is referenced-subset, so new call-ups must arrive with their first game","108"
"registries-report.md","report","Forensic profile of the four registries: people, officials, franchises, venues","zero orphans across 11 checks; people registry = referenced subset (6,317 referenced + 108 strays); crosswalks 100% empty on people and franchises; franchises current-alignment-only; 2 Field of Dreams games source-absent venue","mlb_people, mlb_officials, mlb_franchises, mlb_venues (+ app mlb_umpire_modifiers)","join registries fearlessly by id; no external-id joins; no historical division reads; venue features by venue_id never by name",""
"registries-umpire-modifier-gap.csv","csv","The 8 HP umpires active 2025-26 missing from the app modifier table","8 of 95 distinct 2025-26 HP umpires (newer names: Jones 19 HP games, Kelley 17, Pawol 17, ...) have no mlb_umpire_modifiers row","mlb_officials vs app mlb_umpire_modifiers","umpire-modifier features have coverage holes for 8 new umpires - fall back to a neutral prior rather than dropping their games","8"
"registries-venues-usage.tsv","csv","Full 55-venue decode with per-venue usage span and park dimensions","roof_type/turf_type/timezone/city 100%; left/center/right line dims 100%; left/right_center 83.6%; left_field 29.1% / right_field 23.6% (source-sparse); mixed-era names; active flag stale on 2 rows","mlb_venues.roof_type/turf_type/timezone/capacity/dimension columns + usage vs mlb_games","park-factor features: rely on line+center dimensions (complete) not intermediate wall points; join by venue_id never by name; handle temporary/relocation parks (Sacramento 2025-26, Steinbrenner 2025, COVID parks)","55"
"WAREHOUSE-FORENSIC-REPORT.md","report","Top-level forensic verdict aggregating all six group audits over the 10-table warehouse","clean, referentially airtight, finals-only 21-season (2006-2026) pitch-level warehouse; two real defect clusters: identity crosswalks wiped in production (W-1) and unproven 2026 nightly freshness path (W-2); era matrix + clamp guidance consolidated","all 10 warehouse tables (mlb_games/plays/pitches/boxscore_batting/boxscore_pitching/officials/people/franchises/venues/seasons)","master constraints: era gates (PitchFX 2008+, Statcast pitch 2017+, launch 2015+), exclude ASG, clamp PitchFX outliers, merge FA->FF 2006-07, tolerate source-inherited counts, no crosswalk joins, verify 2026 tail",""
